name,arity_profile,avg_arity,db_size,max_arity,min_arity,n_predicates,n_rules,n_shapes,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_shapes_q,t_terminate_graph_d,terminates_graph
program1,[1-5],3.07518797,1000,5,1,133,619796,490, [5-200), [333333-666666),190.93962,32216.951,43910.125,11731.135,5482.67,1543.37,49583.734, false
program1,[1-5],3.07518797,50000,5,1,133,619796,710, [5-200), [333333-666666),177.35045,32723.814,44332.203,11789.791,45057.95,2647.79,89567.5, false
program1,[1-5],3.07518797,100000,5,1,133,619796,742, [5-200), [333333-666666),175.16614,26981.408,43984.695,11711.261,51388.95,4685.08,95548.81, false
program1,[1-5],3.07518797,250000,5,1,133,619796,839, [5-200), [333333-666666),166.45215,33863.473,44423.027,11581.706,99267.14,11153.17,143856.62, false
program1,[1-5],3.07518797,500000,5,1,133,619796,991, [5-200), [333333-666666),165.97389,30577.207,40188.35,11819.418,138445.81,20263.89,178800.14, false
program10,[1-5],3.033707865,1000,5,1,89,5743,320, [5-200), [0-333333),12.72173,2397.6318,294.2116,259.7295,15657.74,2003.97,15964.678, false
program10,[1-5],3.033707865,50000,5,1,89,5743,479, [5-200), [0-333333),12.794393,2398.3186,317.86484,252.81511,29193.36,1918.91,29524.02, false
program10,[1-5],3.033707865,100000,5,1,89,5743,518, [5-200), [0-333333),12.602929,2395.372,301.82812,250.79036,33253.74,3569.93,33568.17, false
program10,[1-5],3.033707865,250000,5,1,89,5743,583, [5-200), [0-333333),11.935831,2467.0784,320.6093,251.27608,63025.33,8525.65,63357.88, false
program10,[1-5],3.033707865,500000,5,1,89,5743,694, [5-200), [0-333333),14.533344,2368.633,286.08908,249.4217,91518.16,15978.2,91818.78, false
program11,[1-5],3.053191489,1000,5,1,282,436749,1028, [200-400), [333333-666666),250.33644,43070.742,24968.844,8025.3057,58558.5,3002.1,83777.68, false
program11,[1-5],3.053191489,50000,5,1,282,436749,1564, [200-400), [333333-666666),261.95987,20773.295,18174.436,8440.768,129529.66,5782.49,147966.05, false
program11,[1-5],3.053191489,100000,5,1,282,436749,1666, [200-400), [333333-666666),254.3591,32425.783,24906.498,8565.252,138918.92,10325.23,164079.78, false
program11,[1-5],3.053191489,250000,5,1,282,436749,1909, [200-400), [333333-666666),252.62872,31197.072,23565.98,8482.662,253479.45,25910.61,277298.06, false
program11,[1-5],3.053191489,500000,5,1,282,436749,2268, [200-400), [333333-666666),267.32803,41178.883,24125.453,8283.47,336940.75,50928.66,361333.53, false
program12,[1-5],3.555555556,1000,5,1,9,295613,42, [5-200), [0-333333),26.86122,3992.8914,17635.064,6534.377,3484.44,17.16,21146.37, false
program12,[1-5],3.555555556,50000,5,1,9,295613,64, [5-200), [0-333333),28.464033,3966.7554,17257.709,6515.359,3275.26,183.49,20561.43, false
program12,[1-5],3.555555556,100000,5,1,9,295613,66, [5-200), [0-333333),26.139671,4012.1091,17418.254,6354.3623,3933.65,377.4,21378.049, false
program12,[1-5],3.555555556,250000,5,1,9,295613,75, [5-200), [0-333333),27.410927,4078.088,17112.018,6280.059,7308.1,992.11,24447.525, false
program12,[1-5],3.555555556,500000,5,1,9,295613,92, [5-200), [0-333333),26.04926,3990.356,16449.475,6319.538,10358.2,1847.82,26833.727, false
program13,[1-5],2.984313725,1000,5,1,255,49783,885, [200-400), [0-333333),46.031075,3650.0542,1945.8236,1087.5596,42517.1,1222.46,44508.953, false
program13,[1-5],2.984313725,50000,5,1,255,49783,1354, [200-400), [0-333333),52.044865,3728.775,1780.4099,1084.4574,83073.63,4230.55,84906.086, false
program13,[1-5],2.984313725,100000,5,1,255,49783,1431, [200-400), [0-333333),47.059647,3649.1328,1812.9171,1103.3905,94425.09,8120.96,96285.07, false
program13,[1-5],2.984313725,250000,5,1,255,49783,1633, [200-400), [0-333333),94.67119,3397.4802,2036.4232,1078.1128,180547.16,20497.64,182678.25, false
program13,[1-5],2.984313725,500000,5,1,255,49783,1910, [200-400), [0-333333),129.17822,3557.6836,2007.3905,1129.3248,264362.9,45550.63,266499.47, false
program14,[1-5],3.236111111,1000,5,1,72,922273,292, [5-200), [666666-999999),233.76953,31049.797,100951.29,18218.176,18239.32,629.67,119424.38, false
program14,[1-5],3.236111111,50000,5,1,72,922273,436, [5-200), [666666-999999),228.944,23583.752,88238.336,17653.225,35570.63,1480.95,124037.91, false
program14,[1-5],3.236111111,100000,5,1,72,922273,457, [5-200), [666666-999999),179.71541,22782.266,93103.016,17254,28111.5,2886.77,121394.234, false
program14,[1-5],3.236111111,250000,5,1,72,922273,526, [5-200), [666666-999999),187.43211,29478.016,94970.055,17541.062,51948.77,7305.52,147106.25, false
program14,[1-5],3.236111111,500000,5,1,72,922273,632, [5-200), [666666-999999),184.96765,26637.467,106066.016,17312.564,76390.72,14927,182641.7, false
program15,[1-5],2.992346939,1000,5,1,392,837508,1369, [200-400), [666666-999999),292.60483,76530.69,54319.535,15501.12,81285.8,4440.35,135897.94, false
program15,[1-5],2.992346939,50000,5,1,392,837508,2077, [200-400), [666666-999999),330.78635,68561.91,54079.938,15300.875,187469.44,8218.55,241880.16, false
program15,[1-5],2.992346939,100000,5,1,392,837508,2210, [200-400), [666666-999999),328.83475,71221.89,52050.16,15199.454,203875.81,13964.7,256254.81, false
program15,[1-5],2.992346939,250000,5,1,392,837508,2516, [200-400), [666666-999999),317.93002,84728.58,51249.258,15311.916,337193.25,33368.09,388760.44, false
program15,[1-5],2.992346939,500000,5,1,392,837508,2957, [200-400), [666666-999999),297.29907,48011.637,37289.113,15527.626,459595.16,70830.09,497181.56, false
