name,arity_profile,avg_arity,max_arity,min_arity,n_edges_d,n_nodes_d,n_predicates,n_rules,n_shapes,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_d,terminates_graph
\arity\program-100.res,[1-5],3.090909091,5,1,348350,548,11,608757,66, [5-200), [333333-666666),24.872772,2933.9446,10216.283,11530.723,1175.4021,11416.559, false
\arity\program-101.res,[1-5],2.938888889,5,1,2344481,6749,180,932450,950, [5-200), [666666-999999),113.181755,52506.312,20206.031,16434.893,8553.086,28872.299, false
\arity\program-102.res,[1-5],3.015463918,5,1,2257237,8066,194,822934,1090, [5-200), [666666-999999),120.38106,49389.594,18093.441,14832.023,9085.169,27298.992, false
\arity\program-103.res,[1-5],2.75,5,1,573157,1088,28,731530,131, [5-200), [666666-999999),45.255,6658.502,11395.803,12626.519,1930.9469,13372.005, false
\arity\program-104.res,[1-5],3.2,5,1,1837912,5034,110,667640,658, [5-200), [666666-999999),103.85775,30332.799,14403.698,12690.13,5573.5605,20081.117, false
\arity\program-105.res,[1-5],2.88,5,1,1714196,3652,100,926771,524, [5-200), [666666-999999),99.94762,21676.533,20383.172,16108.959,5682.939,26166.059, false
\arity\program-106.res,[1-5],3.272727273,5,1,967998,1119,22,967683,146, [5-200), [666666-999999),62.024048,7586.5835,20629.53,18252.13,1955.4014,22646.953, false
\arity\program-107.res,[1-5],2.842105263,5,1,891643,1315,38,933075,190, [5-200), [666666-999999),50.712543,7908.349,17268.31,16590.908,2926.91,20245.934, false
\arity\program-108.res,[1-5],2.816091954,5,1,1209292,3190,87,688064,426, [5-200), [666666-999999),80.26811,13240.74,11997.598,12100.301,3972.8557,16050.722, false
\arity\program-109.res,[1-5],2.905405405,5,1,2016637,5270,148,868194,770, [5-200), [666666-999999),96.2136,33740.996,17880.604,15629.334,6905.954,24882.77, false
\arity\program-10.res,[1-5],3.006329114,5,1,89501,5648,158,24430,853, [5-200), [0-333333),16.188637,473.55798,473.78577,657.83765,7700.8057,8190.7803, false
\arity\program-110.res,[1-5],2.842592593,5,1,1783391,4046,108,951625,549, [5-200), [666666-999999),97.61924,27811.895,18504.977,16505.932,5773.645,24376.24, false
\arity\program-111.res,[1-5],3.055555556,5,1,2391100,5688,144,932768,823, [5-200), [666666-999999),121.83728,49029.918,21397.693,17067.691,7754.243,29273.773, false
\arity\program-112.res,[1-5],2.87755102,5,1,945993,1958,49,669233,259, [5-200), [666666-999999),50.446747,7174.1777,12079.977,12094.477,3018.4153,15148.838, false
\arity\program-113.res,[1-5],2.948717949,5,1,2359441,7318,195,904045,1048, [5-200), [666666-999999),111.44986,54879.547,19353.426,16177.518,9247.281,28712.156, false
\arity\program-114.res,[1-5],2.97972973,5,1,1867322,5688,148,741382,803, [5-200), [666666-999999),112.65648,37129.625,15254.521,13482.758,6996.4375,22363.615, false
\arity\program-115.res,[1-5],2.859504132,5,1,1693379,4134,121,810101,617, [5-200), [666666-999999),103.89856,23859.068,16814.111,14144.135,6058.3154,22976.324, false
\arity\program-116.res,[1-5],2.855263158,5,1,1938823,5809,152,883874,790, [5-200), [666666-999999),103.43148,35145.43,17562.754,15235.8955,6841.4604,24507.646, false
\arity\program-117.res,[1-5],2.860927152,5,1,1623790,4952,151,685385,759, [5-200), [666666-999999),77.07705,30660.965,12913.659,12134.389,7399.193,20389.93, false
\arity\program-118.res,[1-5],2.970588235,5,1,1035241,1335,34,947717,195, [5-200), [666666-999999),57.628487,8243.129,17534.197,17024.863,2629.5298,20221.355, false
\arity\program-119.res,[1-5],2.953642384,5,1,2054299,5695,151,847012,811, [5-200), [666666-999999),124.5831,42574.367,18014.236,15170.904,7604.8574,25743.678, false
\arity\program-11.res,[1-5],2.966101695,5,1,778319,7473,177,257277,975, [5-200), [0-333333),62.582542,12417.747,4276.152,5010.6587,8272.288,12611.022, false
\arity\program-120.res,[1-5],2.934579439,5,1,1577471,4161,107,734894,583, [5-200), [666666-999999),94.394325,18239.816,14089.115,13088.593,5786.297,19969.807, false
\arity\program-121.res,[1-5],3.058823529,5,1,1469475,2121,51,907681,290, [5-200), [666666-999999),76.7605,13228.493,18567.08,16531.627,3299.8342,21943.674, false
\arity\program-122.res,[1-5],2.882716049,5,1,1729175,5823,162,711373,832, [5-200), [666666-999999),104.21094,28139.664,13907.722,12963.179,7446.808,21458.74, false
\arity\program-123.res,[1-5],3.111940299,5,1,2504014,5736,134,970984,772, [5-200), [666666-999999),113.370155,37832.605,23410.912,17752.068,7804.2505,31328.533, false
\arity\program-124.res,[1-5],2.95049505,5,1,1827144,3373,101,885519,539, [5-200), [666666-999999),98.85119,20477.543,18823.744,15937.294,5594.509,24517.105, false
\arity\program-125.res,[1-5],2.989071038,5,1,1848508,7492,183,676861,1016, [5-200), [666666-999999),99.8493,34002.453,12996.693,12516.833,8244.0205,21340.562, false
\arity\program-126.res,[1-5],2.777777778,5,1,846296,1575,54,710019,251, [5-200), [666666-999999),56.533337,8387.195,12513.311,12589.906,3852.545,16422.389, false
\arity\program-127.res,[1-5],3.081081081,5,1,2594456,6030,148,996669,847, [5-200), [666666-999999),134.24026,43387.566,22557.275,18346.65,7989.5483,30681.064, false
\arity\program-128.res,[1-5],3.077586207,5,1,1783454,5242,116,717392,678, [5-200), [666666-999999),117.26481,25626.822,14616.488,13202.175,6011.69,20745.443, false
\arity\program-129.res,[1-5],2.955696203,5,1,1729053,6253,158,679258,857, [5-200), [666666-999999),113.732445,30746.518,13108.441,12265.546,7291.075,20513.25, false
\arity\program-12.res,[1-5],2.838709677,5,1,368096,1396,31,265804,167, [5-200), [0-333333),34.849564,1934.9852,4477.059,5136.995,1895.8027,6407.7114, false
\arity\program-130.res,[1-5],3.066666667,5,1,738423,1099,30,676212,167, [5-200), [666666-999999),48.41682,5137.655,12496.199,12503.906,2294.4998,14839.116, false
\arity\program-131.res,[1-5],2.810810811,5,1,1144862,2867,74,707820,377, [5-200), [666666-999999),73.734886,11006.4795,13139.089,12441.76,3963.8225,17176.646, false
\arity\program-132.res,[1-5],3.088,5,1,2061620,5100,125,804742,721, [5-200), [666666-999999),96.21554,36472.02,17457.684,14789.517,6080.488,23634.387, false
\arity\program-133.res,[1-5],2.830188679,5,1,1006250,1920,53,728636,272, [5-200), [666666-999999),69.34447,8506.925,13184.051,12952.946,2966.769,16220.164, false
\arity\program-134.res,[1-5],3.090425532,5,1,2215945,8074,188,757286,1094, [5-200), [666666-999999),107.747925,49346.258,16128.567,14115.364,9123.243,25359.559, false
