name,arity_profile,avg_arity,max_arity,min_arity,n_components,n_components_d,n_edges,n_edges_d,n_exist_vars,n_facts,n_nodes,n_nodes_d,n_predicates,n_rules,n_shapes,n_spacial_components,n_spacial_components_d,n_special_edges,n_special_edges_d,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_avg,t_terminate_graph_d,t_terminate_graph_std,t_vlog,terminates_graph,total_t
\arity\program-376-small.res,[1-5], 3.0081967213114753, 5.0, 1.0, 0, 292, 2674756, 1384478, 196379, 48800000, 1468, 19416, 488.0, 393491, 2700, 0, 1, 328283, 213517, [400-600], [333333-666666), 118.95872, 31448.252, 5828.8, 7362.9834, 21687.635,NaN, 27635.393,NaN,null, false, 66875.914
\predicate\program-342-small.res,[1-5], 2.969187675070028, 5.0, 1.0, 0, 473, 1332344, 675482, 97894, 35700000, 1060, 13981, 357.0, 196167, 1963, 0, 1, 159435, 103506, [200-400), [0-333333), 50.661198, 11226.796, 2803.3694, 3664.4824, 15543.146,NaN, 18397.178,NaN,null, false,null
\arity\program-781-small.res,[1-10], 5.493738819320215, 10.0, 1.0, 0, 242663, 2820638, 657480, 62658, 55900000, 3071, 251959, 559.0, 125459, 18615, 0, 1, 228383, 104819, [400-600], [0-333333), 285.87106, 13942.237, 393336.38, 3664.9944, 39404.97,NaN, 433027.22,NaN,null, false, 451209.4
\predicate\program-435-small.res,[1-5], 3.0869565217391304, 5.0, 1.0, 0, 95, 1236911, 1851290, 292582, 23000000, 710, 9679, 230.0, 584015, 1316, 0, 1, 323525, 298604, [200-400), [333333-666666), 119.0179, 32328.506, 10717.057, 11248.762, 10962.734,NaN, 21798.809,NaN,null, false,null
\predicate\program-627-small.res,[1-5], 3.018867924528302, 5.0, 1.0, 0, 444, 2184053, 1045366, 147287, 47700000, 1440, 19489, 477.0, 294692, 2679, 0, 1, 250849, 160619, [400-600], [0-333333), 104.49777, 16815.059, 4493.3394, 5629.582, 22216.182,NaN, 26814.02,NaN,null, false,null
\rules\program-172-small.res,[1-10], 5.05, 10.0, 1.0, 0, 66318, 28879, 284688, 36548, 2000000, 101, 70953, 20.0, 73325, 597, 0, 2, 9999, 46193, [5-200), [0-333333), 94.91745, 3603.3901, 126853.7, 2138.099, 1862.478,NaN, 128811.09,NaN,null, false, 134649.33
\rules\program-415-small.res,[1-5], 2.9973262032085564, 5.0, 1.0, 0, 145, 2846123, 3131271, 497370, 37400000, 1121, 14827, 374.0, 994462, 2051, 0, 1, 621906, 499739, [200-400), [666666-999999), 153.56123, 85038.11, 20020.012, 17770.402, 17061.182,NaN, 37234.754,NaN,null, false, 140702.5
\arity\program-5-small.res,[1-5], 2.962962962962963, 5.0, 1.0, 0, 1, 272998, 714135, 136697, 10800000, 320, 4391, 108.0, 273173, 606, 0, 1, 85863, 115777, [5-200), [0-333333), 40.088184, 9661.763, 4285.7666, 5440.9077, 5973.0786,NaN, 10298.934,NaN,null, false,null
\rules\program-181-small.res,[1-10], 5.2388059701492535, 10.0, 1.0, 0, 232666, 1134423, 984964, 100606, 13400000, 702, 249412, 134.0, 201525, 3935, 0, 1, 244788, 159289, [5-200), [0-333333), 313.1033, 29450.398, 360452.4, 5634.697, 10189.976,NaN, 370955.47,NaN,null, false, 406381.22
\rules\program-743-small.res,[1-5], 3.005893909626719, 5.0, 1.0, 0, 199, 4223759, 2958086, 439720, 50900000, 1530, 20384, 509.0, 877573, 2814, 0, 1, 664581, 464038, [400-600], [666666-999999), 170.98083, 76078.45, 16207.783, 15823.788, 22248.55,NaN, 38627.312,NaN,null, false, 131285.55
\rules\program-490-small.res,[1-10], 5.276679841897233, 10.0, 1.0, 0, 112829, 1195708, 314692, 32677, 25300000, 1335, 116908, 253.0, 65211, 8284, 0, 1, 106180, 50051, [200-400), [0-333333), 144.21132, 7013.4634, 196489.14, 1935.2607, 18292.12,NaN, 214925.48,NaN,null, false, 224114.44
\rules\program-344-small.res,[1-5], 3.1106194690265485, 5.0, 1.0, 0, 847, 576528, 283503, 38006, 22600000, 703, 9478, 226.0, 76364, 1299, 0, 1, 68906, 43915, [200-400), [0-333333), 47.84879, 4680.312, 1148.015, 1633.0809, 10744.304,NaN, 11940.168,NaN,null, false, 18423.604
