name,arity_profile,avg_arity,max_arity,min_arity,n_predicates,n_rules,predicate_profile,rule_profile,t_component,t_graph,t_parse,t_terminate,terminates
synthetic-at-predicate/program-279-r.res,[1-5],2.4,4,1,5,1145, [5-200), [666666-999999),3.609162,13.648957,118.6051,17.504978, false
synthetic-at-rules/program-3-r.res,[1-5],3,5,1,39,54, [5-200), [0-100000),3.657215,2.156267,44.731014,6.0614233, true
synthetic-at-predicate/program-147-r.res,[1-5],2.666666667,5,1,6,10492, [5-200), [333333-666666),3.465671,90.97978,419.16022,94.67626, false
synthetic-at-predicate/program-137-r.res,[1-5],3,5,1,6,15496, [5-200), [333333-666666),3.933951,101.58626,543.98206,105.76297, false
synthetic-at-predicate/program-274-r.res,[1-5],3.8,5,1,5,40285, [5-200), [666666-999999),3.741783,205.6121,1225.1458,209.62856, false
synthetic-at-arity/program-153-r.res,[1-5],2.857142857,4,1,7,6151, [5-200), [333333-666666),3.81639,49.22318,284.1271,53.27161, false
synthetic-at-arity/program-147-r.res,[1-5],2.2,5,1,10,7365, [5-200), [333333-666666),3.906798,73.705826,321.32117,77.85899, false
synthetic-at-rules/program-55-r.res,[1-5],3,5,2,7,12006, [5-200), [500000-600000),3.856591,103.99146,440.6117,108.08063, false
synthetic-at-rules/program-48-r.res,[1-5],2.666666667,4,1,9,6749, [5-200), [400000-500000),4.194905,60.98465,293.91714,65.43372, false
synthetic-at-rules/program-95-r.res,[1-5],2.888888889,5,1,9,14991, [5-200), [900000-1000000),4.08477,105.68086,503.88812,110.01995, false
synthetic-at-arity/program-155-r.res,[1-5],2.7,5,1,10,26252, [5-200), [333333-666666),3.90757,128.15666,795.78046,132.29803, false
synthetic-at-arity/program-15-r.res,[1-5],4.5,5,3,6,69804, [5-200), [0-333333),4.064826,409.6695,1926.2744,413.95407, false
synthetic-at-arity/program-252-r.res,[1-5],2.8,5,1,10,14609, [5-200), [666666-999999),4.376103,130.47351,482.81305,135.1262, false
synthetic-at-arity/program-167-r.res,[1-10],4.142857143,9,1,7,123940, [5-200), [333333-666666),4.173088,894.4368,4763.7905,898.83307, false
synthetic-at-predicate/program-396-r.res,[1-10],5.8,10,1,5,46979, [5-200), [0-333333),3.876534,415.41678,1861.2051,419.58524, false
synthetic-at-rules/program-7-r.res,[1-5],4.142857143,5,3,7,27225, [5-200), [0-100000),4.377709,151.03856,794.1112,155.6613, false
synthetic-at-arity/program-272-r.res,[1-5],3.333333333,5,1,9,82759, [5-200), [666666-999999),4.002384,352.86798,2346.0493,357.0825, false
synthetic-at-predicate/program-38-r.res,[1-5],3.005714286,5,1,175,416, [5-200), [0-333333),4.767459,4.969891,86.87787,9.99426, false
synthetic-at-predicate/program-381-r.res,[1-10],6.2,10,1,5,210121, [5-200), [0-333333),4.254852,1309.3395,7921.7407,1313.7988, false
synthetic-at-predicate/program-22-r.res,[1-5],2.818181818,5,1,11,14844, [5-200), [0-333333),4.364414,124.083855,480.38727,128.68861, false
synthetic-at-predicate/program-255-r.res,[1-5],3.666666667,5,2,9,57439, [5-200), [666666-999999),4.323465,247.38689,1573.1102,251.93689, false
synthetic-at-predicate/program-14-r.res,[1-5],2.5,5,1,14,14775, [5-200), [0-333333),4.633084,106.763954,489.6587,111.715385, false
synthetic-at-predicate/program-253-r.res,[1-5],3.888888889,5,1,9,110688, [5-200), [666666-999999),4.233571,456.4621,2930.5269,460.92953, false
synthetic-at-arity/program-41-r.res,[1-10],6,8,3,6,200288, [5-200), [0-333333),4.424773,1209.7048,6719.754,1214.3463, false
synthetic-at-predicate/program-250-r.res,[1-5],2.846153846,4,1,13,15758, [5-200), [666666-999999),4.933717,99.63751,494.08835,104.81399, false
